Model;Promo_Price;Price;URL
['KIVI', '43U790LW', 'White'];13499;14 499-1 000                                        13 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_43u790lw.html
['XIAOMI', 'Mi', 'TV', 'P1', '43', 'Black'];12499;14 999-2 500                                        12 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_xiaomi_mi_tv_p1_43_black.html
['TCL', '50P615'];12749;14 999-2 250                                        12 749 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_50p615.html
['SONY', 'KD-55X81K'];36899;39 499-2 600                                        36 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_55x81k.html
['SONY', 'KD-55X85TK'];44999;47 899-2 900                                        44 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_55x85tk.html
['SONY', 'KD-65X81K'];53999;58 899-4 900                                        53 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_65x81k.html
['SONY', 'XR-55A80K'];87999;99 999-12 000                                        87 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_xr_55a80k.html
['SONY', 'KD-65X85TK'];66499;72 599-6 100                                        66 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_65x85tk.html
['SONY', 'XR-65X90K'];87999;99 999-12 000                                        87 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_xr_65x90k.html
['SONY', 'XR65A90JCEP'];149999;169 999-20 000                                        149 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_xr65a90jcep.html
['SONY', 'KD-75X85TK'];94999;103 599-8 600                                        94 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_75x85tk.html
['SONY', 'KD-75X81K'];80999;88 299-7 300                                        80 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd_75x81k.html
['SONY', 'XR55A90JCEP'];109999;119 999-10 000                                        109 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_xr55a90jcep.html
['HISENSE', '40А4BG'];10227;12 499-2 272                                        10 227 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_40a4bg.html
['TCL', '32S615'];8499;9 999-1 500                                        8 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_32s615.html
['PHILIPS', '55PUS7607/12'];20799;23 999-3 200                                        20 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_philips_55pus760712.html
['SONY', 'KD50X85TK'];40499;43 099-2 600                                        40 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_sony_kd50x85tk.html
['TCL', '55C825'];40289;47 399-7 110                                        40 289 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_tcl_55c825.html
['SAMSUNG', 'UE43AU8000UXUA'];18799;19 799-1 000                                        18 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue43au8000uxua.html
['SAMSUNG', 'UE32T5300AUXUA'];12899;14 319-1 420                                        12 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue32t5300auxua.html
['SAMSUNG', 'UE50BU8000UXUA'];23999;26 639-2 640                                        23 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue50bu8000uxua.html
['SAMSUNG', 'UE43T5300AUXUA'];13999;15 199-1 200                                        13 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue43t5300auxua.html
['SAMSUNG', 'UE55BU8000UXUA'];27399;30 419-3 020                                        27 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue55bu8000uxua.html
['SAMSUNG', 'QE75Q70BAUXUA'];101999;127 499-25 500                                        101 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe75q70bauxua.html
['SAMSUNG', 'UE32T4500AUXUA'];10499;11 399-900                                        10 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue32t4500auxua.html
['UD', '40F5210', '(AndroidTV', '11)'];10299;11 499-1 200                                        10 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_40f5210.html
['LG', '55NANO916PA'];35999;63 129-27 130                                        35 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_lg_55nano916pa.html
['SAMSUNG', 'QE55Q70AAUXUA'];36999;40 999-4 000                                        36 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe55q70aauxua.html
['SAMSUNG', 'QE65QN90AAUXUA'];89999;99 999-10 000                                        89 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe65qn90aauxua.html
['UD', '32W5210', '(AndroidTV', '11)'];7299;7 999-700                                        7 299 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_ud_32w5210.html
['SONY', 'KD75X81JCEP'];61799;77 249-15 450                                        61 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_sony_kd75x81jcep.html
['SAMSUNG', 'QE50Q60AAUXUA'];25799;28 999-3 200                                        25 799 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe50q60aauxua.html
['SAMSUNG', 'UE24N4500AUXUA'];9199;10 219-1 020                                        9 199 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_ue24n4500auxua.html
['SAMSUNG', 'QE55Q80BAUXUA'];53999;59 939-5 940                                        53 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe55q80bauxua.html
['SAMSUNG', 'QE65Q60BAUXUA'];46999;52 199-5 200                                        46 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_qe65q60bauxua.html
['HISENSE', '32A5600F'];8499;9 439-940                                        8 499 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_hisense_32a5600f.html
['KIVI', '32F790LW'];9899;10 999-1 100                                        9 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_kivi_32f790lw.html
['HISENSE', '55A6BG'];19999;22 199-2 200                                        19 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_55a6bg.html
['HISENSE', '50A6BG'];17999;19 979-1 980                                        17 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_hisense_50a6bg.html
['SAMSUNG', 'QE50QN90AAUXUA'];54399;63 999-9 600                                        54 399 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe50qn90aauxua.html
['SAMSUNG', 'QE32LS03TCUXUA'];17999;19 999-2 000                                        17 999 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/led_televizory_samsung_qe32ls03tcuxua.html
['SAMSUNG', 'UE43BU8510UXUA'];21899;27 379-5 480                                        21 899 ₴                                    ;https://www.foxtrot.com.ua/ru/shop/televizoriy_samsung_ue43bu8510uxua.html
